# Taxonomy	Num	Mean	Stddev
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales	1	1	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	1	3.5	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	2	2	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	1	4.5	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	3	2.20634920634921	0.29182184620397
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	3	2.29166666666667	0.41247895569215
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	4	2.6875	0.81729355191388
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	3	2	0.81649658092773
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	2	2.74784013605442	0.45284013605442
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales	1	5.5	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales	1	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1	8.75	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	7	7.6530612244898	2.19176452585043
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	5	1.83333333333333	0.49441323247304
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	1	5.66542664496629	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	2	1.92857142857143	0.92857142857143
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	5	4.65	1.88148877222268
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	1	5.75	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	2	5.30729166666667	0.13020833333333
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	1	11.0611111111111	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	1	2.875	0
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales	1	2	0
k__Bacteria;p__Spirochaetes;c__Brachyspirae;o__Brachyspirales	1	1	0
k__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales	1	2	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	1	1.88536155202822	0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	2	2.5	0.5
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	1	2	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales	1	2	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	1	1.8844696969697	0
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	1	3.75	0
k__Bacteria;p__Thermi;c__Deinococci;o__Thermales	1	2	0
k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales	1	2.1	0
k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales	1	1	0
