# Taxonomy	Num	Mean	Stddev
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales	2	2.375	0.375
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	1	2	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	3	2.83333333333333	1.02740233382816
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	2	2.5	0.5
k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	3	1	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	1	1	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	25	3.07733333333333	1.34622005795652
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1	2.925	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	1	1.33333333333333	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Rubrobacterales	1	1	0
k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	2	1.9375	0.5625
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4	2.89322916666667	0.71102334646533
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	1	3.03571428571429	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	3	2.28333333333333	1.06170722057553
k__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales	4	1.75	0.55901699437495
k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales	1	1.58	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales	2	2	1
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales	1	5	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Roseiflexales	1	2	0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales	1	1	0
k__Bacteria;p__Chloroflexi;c__Thermobacula;o__Thermobaculales	1	2	0
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae;o__Gloeobacterales	1	1	0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	1	3.875	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	1	2	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	1	2.33333333333333	0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	2	1.69230769230769	0.30769230769231
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	1	2	0
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia;o__Dictyoglomales	1	2	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	6	8.14259259259259	3.05880128639011
k__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales	1	9	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	5	5.18239316239316	1.69486430383111
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	11	4.89166666666667	2.59120257951415
k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales	2	4.5	0.5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales	1	4	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	3	2.61111111111111	0.43744488188955
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	1	3.6875	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	1	1	0
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae;o__Lentisphaerales	1	8	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales	2	3.5	0.5
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales	1	2	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	1	1.5	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	9	2.62103174603175	1.28753789935584
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	2	2.20833333333333	0.54166666666667
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	2	3.8	0.2
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	2	1	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	2	1.625	0.625
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	4	2.97166895604396	0.40430883797242
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	1	2	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	1	2.25	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	1	6.33333333333333	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales	1	1	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	1	3.5	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	2	2	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	1	4.5	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	3	2.20634920634921	0.29182184620397
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	3	2.29166666666667	0.41247895569215
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	4	2.6875	0.81729355191388
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	3	1.83333333333333	0.62360956446232
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	2	2.77534013605442	0.42534013605442
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales	1	5.5	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales	1	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1	8.75	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	7	7.6530612244898	2.19176452585043
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	3	2.05555555555556	0.34246744460939
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	1	5.66420347138684	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	2	1.92857142857143	0.92857142857143
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	2	2.5	0.5
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	6	4.04166666666667	2.19096947085582
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	1	5.75	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	2	5.33912037037037	0.09837962962963
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	1	11.1595238095238	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	1	2.80555555555556	0
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales	1	2	0
k__Bacteria;p__Spirochaetes;c__Brachyspirae;o__Brachyspirales	1	1	0
